rgb,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
p0 ,255,161,221,144,122,9,0,4,0,1,146,0,14,247,189,1
 p1 ,255,131,212,176,163,26,0,4,2,12,154,0,14,252,166,4
 p2 ,255,110,204,213,208,28,0,2,17,59,156,1,32,247,137,10
 p3 ,255,161,227,145,123,17,0,5,0,1,145,1,13,214,195,1
 p4 ,255,129,218,180,164,42,0,5,2,14,153,1,14,229,176,5
 p5 ,255,106,211,223,208,40,0,3,17,66,155,1,32,232,151,12
 p6 ,255,147,220,140,124,61,0,2,0,1,61,1,13,224,206,1
 p7 ,255,117,209,187,164,109,0,4,1,16,65,1,13,234,186,6
 p8 ,255,95,199,232,208,101,0,3,16,70,65,1,31,235,168,13
 p9 ,255,99,181,134,126,111,0,2,0,1,104,1,15,231,203,1
 p10 ,255,79,161,182,164,169,0,4,1,17,106,1,14,242,180,5
 p11 ,255,63,140,228,208,160,0,3,16,75,105,2,32,222,164,11
 p12 ,255,137,179,132,127,104,0,2,0,0,161,1,16,214,187,1
 p13 ,255,117,159,183,165,167,0,4,1,19,169,1,15,231,164,5
 p14 ,255,104,138,231,208,158,0,3,16,80,168,2,33,213,142,11
 p15 ,255,197,174,130,129,53,0,3,0,0,157,1,16,226,174,1
 p16 ,255,178,156,190,165,120,0,5,1,20,167,1,15,241,148,6
 p17 ,255,165,140,238,208,110,0,4,16,80,166,2,33,242,123,13
 p18 ,255,230,182,129,131,97,0,4,0,0,98,1,16,135,166,2
 p19 ,255,218,167,189,166,119,0,6,2,19,106,1,15,155,140,9
 p20 ,255,206,152,240,207,115,0,5,17,80,104,2,33,142,115,18
 p21 ,255,190,189,129,133,187,0,5,0,0,18,1,13,47,162,3
 p22 ,255,167,178,189,166,195,0,7,1,20,17,1,14,57,139,12
 p23 ,255,146,165,242,207,195,0,6,16,83,16,2,32,48,113,22
 p24 ,255,145,228,127,134,191,0,3,0,1,48,1,12,42,150,3
 p25 ,255,105,220,188,168,200,0,5,2,21,54,1,14,49,129,14
 p26 ,255,85,214,241,207,201,0,4,17,85,37,2,32,36,102,24
 p27 ,255,160,228,126,135,101,0,3,0,0,57,1,16,82,117,3
 p28 ,255,126,217,187,169,118,0,5,1,21,73,1,15,90,99,12
 p29 ,255,105,208,241,207,118,0,4,16,85,42,3,33,56,73,22
 p30 ,255,166,161,126,137,33,0,3,0,1,53,1,16,191,71,1
 p31 ,255,147,145,188,170,64,0,5,1,21,67,1,15,222,67,8
 p32 ,255,123,129,239,208,56,0,4,16,85,41,2,33,106,49,20
 p33 ,255,173,71,125,139,110,0,3,0,1,50,1,15,132,38,2
 p34 ,255,166,61,187,170,112,0,5,1,21,64,1,14,166,37,10
 p35 ,255,152,48,238,208,40,0,4,16,87,39,2,31,65,25,20
 p36 ,255,182,121,125,141,210,0,4,1,1,43,1,27,34,38,3
 p37 ,255,157,100,187,170,193,0,6,2,21,50,1,25,43,42,12
 p38 ,255,136,80,238,208,26,0,5,15,90,42,2,39,31,29,21
 p39 ,255,170,151,124,143,217,0,3,1,1,43,1,36,53,15,4
 p40 ,255,139,131,187,171,200,0,4,2,22,49,1,32,59,30,15
 p41 ,255,115,107,238,208,17,0,6,16,91,43,2,43,55,22,26
 p42 ,255,163,161,124,145,121,0,3,0,1,65,1,33,45,10,4
 p43 ,255,149,143,187,173,115,0,4,2,22,85,1,29,55,9,15
 p44 ,255,125,119,238,208,13,0,6,17,91,44,3,37,47,7,25
 p45 ,255,192,162,124,147,20,0,0,0,1,70,1,38,141,31,3
 p46 ,255,179,145,187,173,39,0,4,2,23,104,1,35,163,29,15
 p47 ,255,163,126,238,207,24,0,5,16,92,29,3,43,63,19,24
 p48 ,255,166,215,124,149,10,0,0,2,0,85,1,33,185,51,3
 p49 ,255,134,207,187,173,30,0,4,2,23,121,1,30,227,45,17
 p50 ,255,113,197,238,207,24,0,5,14,94,33,3,41,61,38,28
 p51 ,255,170,232,123,151,8,0,1,1,0,82,1,29,179,36,5
 p52 ,255,148,227,186,175,23,0,5,2,24,110,1,27,220,31,18
 p53 ,255,124,221,238,206,22,0,6,14,99,47,3,40,81,19,31
 p54 ,255,191,219,123,152,4,0,1,1,0,56,1,29,204,60,3
 p55 ,255,179,215,186,175,14,0,5,2,25,66,1,27,230,53,15
